,YEAR,SSP,value
196,2041,SSP2,10235.861235271395
197,2041,SSP3,10873.500901791072
198,2041,SSP4,9379.263066362151
199,2041,SSP5,11720.000070010374
200,2042,SSP1,9054.84139722333
201,2042,SSP2,10254.321865988362
202,2042,SSP3,10902.806015710234
203,2042,SSP4,9387.192162076635
204,2042,SSP5,11768.107449276818
205,2043,SSP1,9059.381731817013
206,2043,SSP2,10270.761742149583
207,2043,SSP3,10929.227970786136
208,2043,SSP4,9394.092863242462
209,2043,SSP5,11812.083328435188
210,2044,SSP1,9063.29139463095
211,2044,SSP2,10285.3990760842
212,2044,SSP3,10953.042049723806
213,2044,SSP4,9400.098496147244
214,2044,SSP5,11852.260610368043
215,2045,SSP1,9066.658214541465
216,2045,SSP2,10298.429325221336
217,2045,SSP3,10974.499078155886
218,2045,SSP4,9405.32522708085
219,2045,SSP5,11888.9493540578
220,2046,SSP1,9069.557798756197
221,2046,SSP2,10310.027372475888
222,2046,SSP3,10993.82722043895
223,2046,SSP4,9409.874224512843
224,2046,SSP5,11922.437624795544
225,2047,SSP1,9072.055220676952
226,2047,SSP2,10320.34954207319
227,2047,SSP3,11011.233722867832
228,2047,SSP4,9413.833562595
229,2047,SSP5,11952.992455769494
230,2048,SSP1,9074.206479600249
231,2048,SSP2,10329.535452550575
232,2048,SSP3,11026.906586479121
233,2048,SSP4,9417.279893116536
234,2048,SSP5,11980.86088486011
235,2049,SSP1,9076.059761544004
236,2049,SSP2,10337.709711832338
237,2049,SSP3,11041.016157254386
238,2049,SSP4,9420.27991126521
239,2049,SSP5,12006.271036692528
240,2050,SSP1,9077.656527190285
241,2050,SSP2,10344.983461443111
242,2050,SSP3,11053.716626043322
243,2050,SSP4,9422.891638554436
244,2050,SSP5,12029.43322548137
245,2051,SSP1,9079.032449868322
246,2051,SSP2,10351.45577832447
247,2051,SSP3,11065.147434082633
248,2051,SSP4,9425.165544204327
249,2051,SSP5,12050.541058982772
250,2052,SSP1,9080.218223699183
251,2052,SSP2,10357.214943531613
252,2052,SSP3,11075.434582745358
253,2052,SSP4,9427.145524207404
254,2052,SSP5,12069.772527989355
255,2053,SSP1,9081.24025949302
256,2053,SSP2,10362.3395874562
257,2053,SSP3,11084.691848255212
258,2053,SSP4,9428.869755330294
259,2053,SSP5,12087.29106932109
260,2054,SSP1,9082.121283727274
261,2054,SSP2,10366.899721263862
262,2054,SSP3,11093.021903661453
263,2054,SSP4,9430.371439438928
264,2054,SSP5,12103.246593235457
265,2055,SSP1,9082.880853926647
266,2055,SSP2,10370.957664042196
267,2055,SSP3,11100.51735149399
268,2055,SSP4,9431.679451808497
269,2055,SSP5,12117.776468664251
270,2056,SSP1,9083.535801995307
271,2056,SSP2,10374.56887479842
272,2056,SSP3,11107.261671293116
273,2056,SSP4,9432.81890550013
274,2056,SSP5,12131.006461738696
275,2057,SSP1,9084.10061549833
276,2057,SSP2,10377.78269798082
277,2057,SSP3,11113.33008670564
278,2057,SSP4,9433.811642455323
279,2057,SSP5,12143.051624744972
280,2058,SSP1,9084.587765531556
281,2058,SSP2,10380.643030666462
282,2058,SSP3,11118.790357120448
283,2058,SSP4,9434.67666067271
284,2058,SSP5,12154.017134009835
285,2059,SSP1,9085.007988636546
286,2059,SSP2,10383.188918991307
287,2059,SSP3,11123.703498930761
288,2059,SSP4,9435.430485682362
289,2059,SSP5,12163.999076297718
290,2060,SSP1,9085.37052918979
291,2060,SSP2,10385.455090821064
292,2060,SSP3,11128.124441498536
293,2060,SSP4,9436.08749351103
294,2060,SSP5,12173.085184148675
295,2061,SSP1,9085.68334780492
296,2061,SSP2,10387.472431088894
297,2061,SSP3,11132.102622791264
298,2061,SSP4,9436.660191427263
299,2061,SSP5,12181.355521238358
300,2062,SSP1,9085.95330051618
301,2062,SSP2,10389.268405671157
302,2062,SSP3,11135.68252948911
303,2062,SSP4,9437.159461957335
304,2062,SSP5,12188.883119329923
305,2063,SSP1,9086.18629284592
306,2063,SSP2,10390.867439143036
307,2063,SSP3,11138.904186141774
308,2063,SSP4,9437.594774961013
309,2063,SSP5,12195.73456874152
310,2064,SSP1,9086.387412284696
311,2064,SSP2,10392.291251256778
312,2064,SSP3,11141.803597706057
313,2064,SSP4,9437.974371940198
314,2064,SSP5,12201.97056449736
315,2065,SSP1,9086.561042217674
316,2065,SSP2,10393.559156519774
317,2065,SSP3,11144.413149529453
318,2065,SSP4,9438.305426213938
319,2065,SSP5,12207.646410485246
