,YEAR,SSP,value
80,2018,SSP1,62.19137740933731
81,2018,SSP2,62.85839736110084
82,2018,SSP3,63.20641486442762
83,2018,SSP4,62.51205870607513
84,2018,SSP5,63.579000854320086
85,2019,SSP1,62.676974654518766
86,2019,SSP2,63.479736943713654
87,2019,SSP3,63.90606940183883
88,2019,SSP4,63.060953950349436
89,2019,SSP5,64.36816326991917
90,2020,SSP1,63.11572320219476
91,2020,SSP2,64.05525370364872
92,2020,SSP3,64.56238434071848
93,2020,SSP4,63.56305760458653
94,2020,SSP5,65.11839026659547
95,2021,SSP1,63.51147820632086
96,2021,SSP2,64.58736388026689
97,2021,SSP3,65.17693618285271
98,2021,SSP4,64.02156900833641
99,2021,SSP5,65.8303790012334
100,2022,SSP1,63.86792571056802
101,2022,SSP2,65.07853193319285
102,2022,SSP3,65.75142355738565
103,2022,SSP4,64.4396293576092
104,2022,SSP5,66.50498968711815
105,2023,SSP1,64.18855466599315
106,2023,SSP2,65.53123114242258
107,2023,SSP3,66.2876319429705
108,2023,SSP4,64.82028581029245
109,2023,SSP5,67.14321934867931
110,2024,SSP1,64.47663947487051
111,2024,SSP2,65.94791092489955
112,2024,SSP3,66.78740235982234
113,2024,SSP4,65.16646462567151
114,2024,SSP5,67.7461770742234
115,2025,SSP1,64.7352310229166
116,2025,SSP2,66.33097036239668
117,2025,SSP3,67.2526040439345
118,2025,SSP4,65.48095204867197
119,2025,SSP5,68.31506103376184
120,2026,SSP1,64.96715438849417
121,2026,SSP2,66.68273733829321
122,2026,SSP3,67.6851109871402
123,2026,SSP4,65.76638170015265
124,2026,SSP5,68.85113742426286
125,2027,SSP1,65.17501166327112
126,2027,SSP2,67.00545263688268
127,2027,SSP3,68.08678213623088
128,2027,SSP4,66.02522732710884
129,2027,SSP5,69.35572142057768
130,2028,SSP1,65.36118856270932
131,2028,SSP2,67.30125835396323
132,2028,SSP3,68.45944498497833
133,2028,SSP4,66.25979988189363
134,2028,SSP5,69.83016014463519
135,2029,SSP1,65.5278637335153
136,2029,SSP2,67.57218998985562
137,2029,SSP3,68.80488225814206
138,2029,SSP4,66.47224802409076
139,2029,SSP5,70.27581761558393
140,2030,SSP1,65.67701987158587
141,2030,SSP2,67.82017163629229
142,2030,SSP3,69.12482137068258
143,2030,SSP4,66.6645612633652
144,2030,SSP5,70.69406160671
145,2031,SSP1,65.81045594487439
146,2031,SSP2,68.04701371960601
147,2031,SSP3,69.42092634367172
148,2031,SSP4,66.83857508059485
149,2031,SSP5,71.08625230874596
150,2032,SSP1,65.9297999704985
151,2032,SSP2,68.25441281893363
152,2032,SSP3,69.69479186688814
153,2032,SSP4,66.99597747431169
154,2032,SSP5,71.45373268150456
155,2033,SSP1,66.03652192547224
156,2033,SSP2,68.44395313584661
157,2033,SSP3,69.94793921369234
158,2033,SSP4,67.13831647809015
159,2033,SSP5,71.7978203648727
160,2034,SSP1,66.13194647778714
161,2034,SSP2,68.61710924821655
162,2034,SSP3,70.18181373403436
163,2034,SSP4,67.2670082813149
164,2034,SSP5,72.11980101464331
165,2035,SSP1,66.21726531175518
166,2035,SSP2,68.77524983442478
167,2035,SSP3,70.39778367445615
168,2035,SSP4,67.38334566082851
169,2035,SSP5,72.42092292727625
170,2036,SSP1,66.2935488912694
171,2036,SSP2,68.9196421031363
172,2036,SSP3,70.59714009825929
173,2036,SSP4,67.48850649489171
174,2036,SSP5,72.70239281950954
175,2037,SSP1,66.36175755956818
176,2037,SSP2,69.0514567081941
