,省,FID,Join_Count,TARGET_FID,lon,lat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,省代码,市代码
21,湖北省,212064,73,212064,8191.25,2256.75,57237730,57473877,57701184,57916212,58115459,58295378,58452410,58583002,58683565,58750534,58780277,58770123,58721202,58635561,58515295,58362467,58179653,57971458,57742940,57499180,57245259,56985553,56721735,56454825,56185811,55915716,55644998,55371924,55094182,54809532,54515667,54210431,53892082,53558977,53209495,52841997,52455272,52049870,51626749,51186849,50731097,50260672,49777883,49285309,48785528,48281078,47774151,47265427,46755187,46243732,45731351,45218632,44707431,44199976,43698525,43205374,42722135,42247418,41779073,41314929,40852815,40390929,39929064,39467442,39006259,38545721,38086171,37628383,37173261,36721705,36274605,35832550,35394872,34960531,34528446,34097501,33667115,33239144,32816127,32400640,31995333,31602504,31222793,30856401,30503599,30164665,29839894,29529607,29234114,28953746,28688853,30660000,30784846
22,湖南省,242395,72,242395,8045.5,1985.0,65700763,65933370,66147254,66340918,66512807,66661350,66784893,66881748,66950177,66988336,66994378,66967155,66908870,66822556,66711250,66577998,66425914,66258223,66078209,65889159,65694357,65496387,65295089,65089610,64879118,64662761,64439582,64208249,63967328,63715371,63450960,63172621,62878760,62567730,62237894,61887612,61515757,61123201,60711358,60281588,59835258,59373930,58899996,58416044,57924683,57428488,56929711,56429280,55927779,55425798,54923922,54422876,53923952,53428566,52938191,52454285,51977819,51507534,51041650,50578340,50115736,49652715,49191100,48733480,48282510,47840888,47410274,46988173,46570978,46155034,45736702,45313165,44885351,44455048,44023990,43593895,43166452,42743429,42326583,41917709,41518654,41130847,40754198,40388267,40032615,39686890,39350714,39023716,38705604,38396055,38094760,30960000,31023500
23,甘肃省,293747,174,293747,17508.5,6589.0,25603008,25688872,25780466,25875834,25972913,26069574,26163657,26252991,26335396,26408716,26470780,26519795,26555310,26577206,26585325,26579563,26560079,26528192,26485552,26433774,26374465,26309121,26238675,26163922,26085701,26004773,25921762,25836391,25748226,25656794,25561661,25462286,25357883,25247612,25130621,25006066,24873220,24732038,24582612,24425019,24259314,24085816,23905579,23719869,23529967,23337108,23142502,22946875,22750926,22555292,22360678,22167650,21976451,21787264,21600230,21415530,21233128,21052250,20871983,20691336,20509344,20325283,20139335,19952016,19763838,19575288,19386725,19197917,19008408,18817812,18625651,18431741,18236529,18040703,17844965,17649933,17456388,17265350,17078019,16895538,16719165,16549627,16385833,16226267,16069334,15913433,15756974,15598301,15435816,15267845,15092707,107880000,108058300
24,福建省,155423,44,155423,5191.0,1144.5,36556010,36830097,37097334,37355821,37603702,37839185,38060557,38266160,38454420,38623817,38772898,38900804,39008917,39099148,39173413,39233590,39281535,39318924,39347410,39368653,39384308,39395713,39403008,39406003,39404511,39398378,39387204,39369879,39345100,39311544,39267887,39212952,39146110,39066906,38974854,38869473,38750412,38617796,38471898,38312973,38141293,37957203,37761279,37554144,37336450,37108813,36871932,36626765,36374328,36115649,35851717,35583595,35312496,35039664,34766346,34493815,34223010,33953566,33684778,33415935,33146294,32875245,32602714,32328757,32053427,31776803,31498857,31219138,30937108,30652209,30363916,30072281,29779755,29489394,29204309,28927611,28661830,28406994,28162475,27927570,27701570,27483860,27274486,27073692,26881752,26698958,26525640,26362149,26208865,26066169,25934458,15400000,15425000
25,西藏自治区,1253706,457,1253706,40305.0,14378.5,2997643,3013505,3028950,3043892,3058372,3072362,3085741,3098594,3110837,3122445,3133415,3143693,3153213,3162109,3170119,3177353,3183829,3189486,3194380,3198645,3202303,3205353,3207735,3209329,3210003,3209565,3207949,3205146,3201104,3195828,3189176,3181272,3172134,3161856,3150511,3138132,3124811,3110570,3095620,3079965,3063762,3046974,3029655,3011960,2993842,2975366,2956575,2937439,2917888,2897869,2877377,2856388,2834864,2812794,2790223,2767194,2743637,2719668,2695413,2670949,2646310,2621638,2596903,2572021,2547015,2521821,2496423,2470643,2444340,2417319,2389390,2360514,2330844,2300752,2270533,2240457,2210853,2181796,2153366,2125613,2098665,2072486,2047065,2022280,1998054,1974278,1950853,1927690,1904675,1881754,1858753,246240000,246705000
26,贵州省,223791,66,223791,6948.25,1739.25,34748560,34828335,34927479,35044267,35176741,35322810,35480254,35646821,35820215,35998181,36178523,36358741,36534975,36703022,36858676,36997739,37117076,37217964,37302748,37373773,37433375,37483789,37526703,37563699,37596353,37626236,37654713,37682270,37709198,37735751,37762212,37788585,37813861,37836757,37856014,37870324,37878551,37879998,37874117,37860423,37838412,37807896,37769844,37725527,37676216,37623233,37567889,37511529,37455508,37401176,37349928,37303187,37262413,37229084,37204663,37190598,37187683,37194202,37207724,37225746,37245657,37265192,37283613,37300640,37315986,37329415,37340498,37348120,37351079,37348247,37338652,37322132,37301594,37280541,37262411,37250510,37247389,37252982,37266503,37286996,37313410,37344276,37376805,37407907,37434453,37453360,37461518,37455827,37433196,37390551,37324861,33800000,33888300
27,辽宁省,68753,63,68753,7725.25,2602.75,43746323,43776649,43774878,43743695,43685795,43603798,43500221,43377442,43237664,43082913,42915056,42735433,42544005,42340440,42124416,41895664,41654100,41400179,41134496,40857669,40570300,40272850,39965233,39647241,39318656,38979271,38628803,38266730,37892492,37505522,37105290,36691573,36265464,35828374,35381702,34926903,34465264,33997468,33524038,33045465,32562182,32074591,31582976,31087538,30588500,30086021,29580359,29072000,28561536,28049553,27536628,27023666,26512991,26007305,25509410,25022208,24547854,24085501,23633552,23190385,22754458,22324376,21899598,21479734,21064419,20653251,20245617,19840250,19435592,19030002,18621751,18209808,17796417,17384751,16978113,16579971,16193576,15820892,15463585,15123414,14802168,14500982,14218153,13951197,13697555,13454606,13219686,12990054,12762939,12535500,12304856,13230000,13277600
28,重庆市,94275,31,94275,3343.25,930.25,28846173,28858669,28862942,28859386,28848297,28829884,28804279,28771506,28731515,28684153,28629216,28566364,28495006,28414525,28324328,28223831,28112814,27992530,27864552,27730471,27591882,27449994,27304522,27154799,27000180,26839998,26673820,26502079,26325455,26144599,25960212,25772730,25581576,25385942,25185022,24977989,24764264,24544061,24317810,24085936,23848829,23606893,23360469,23109916,22855559,22597723,22336924,22074426,21811715,21550264,21291581,21036901,20786492,20540360,20298529,20061031,19827706,19597522,19369231,19141578,18913287,18683496,18452915,18222711,17994049,17768109,17545647,17325615,17106487,16886696,16664634,16439034,16210122,15978500,15744813,15509691,15273913,15038818,14805892,14576682,14352778,14135363,13923780,13716926,13513653,13312814,13113251,12913781,12713220,12510348,12303970,15500000,15500000
29,陕西省,181041,84,181041,9040.75,2919.75,37763733,37893859,38018373,38135787,38244577,38343167,38429946,38503267,38561469,38602872,38625741,38628677,38611521,38574471,38517696,38441394,38346143,38234049,38107608,37969302,37821610,37666650,37505088,37337209,37163302,36983676,36798444,36607009,36408628,36202521,35987956,35764339,35531840,35290794,35041513,34784347,34519528,34246925,33966296,33677376,33379878,33073691,32759327,32437420,32108605,31773509,31432831,31087540,30738682,30387323,30034494,29681199,29328230,28976351,28626337,28278983,27934709,27592341,27250302,26907012,26560852,26210677,25857172,25501470,25144747,24788145,24432577,24077706,23722884,23367419,23010543,22651694,22291253,21929828,21568078,21206722,20846827,20490869,20141808,19802667,19476542,19165859,18869745,18586549,18314556,18052025,17797162,17548198,17303256,17060486,16817997,50630000,50684400
30,青海省,577053,280,577053,26781.25,9958.75,5596395,5629224,5662477,5695868,5729124,5761958,5794190,5825446,5855565,5884263,5911271,5936409,5959579,5980712,5999689,6016464,6031013,6043489,6054160,6063309,6071167,6077921,6083575,6088104,6091442,6093479,6094213,6093525,6091334,6087575,6082102,6074832,6065757,6054725,6041718,6026586,6009396,5990171,5969155,5946411,5922153,5896513,5869690,5841875,5813253,5784007,5754290,5724157,5693540,5662480,5630941,5598916,5566684,5534466,5502558,5471199,5440612,5410692,5381252,5352149,5323183,5294213,5265123,5235818,5206216,5176245,5145824,5115058,5083985,5052779,5021467,4990224,4959360,4929101,4899733,4871518,4844663,4818958,4794179,4770133,4746463,4722957,4699478,4675939,4652226,4628233,4603950,4579229,4554029,4528250,4501883,175770000,176499200
31,香港特别行政区,3797,1,3797,114.25,22.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,810000,810000
32,黑龙江省,56430,213,56430,27224.75,10188.75,38278100,38319248,38329619,38311464,38267014,38198527,38108175,37997963,37869803,37725450,37566473,37394140,37208828,37010722,36800120,36577261,36342502,36096378,35839431,35572226,35295340,35009255,34714196,34410259,34097638,33776429,33446683,33107857,32759327,32400488,32030737,31649720,31258116,30856873,30446908,30029146,29604417,29172850,28734398,28289001,27836520,27376899,26910247,26436702,25956358,25469361,24975767,24475944,23970274,23459057,22942680,22421914,21899114,21377170,20859053,20347796,19845806,19352621,18867031,18387899,17914108,17444851,16980512,16521783,16069317,15623761,15185471,14753400,14326193,13902254,13479930,13057686,12634928,12211333,11786658,11360802,10934774,10513943,10104875,9714446,9349693,9015872,8710102,8427408,8162650,7910514,7665641,7422473,7175369,6918650,6646418,48990000,49197900
