,0
0,上海市
1050,139289043
1051,139802976
1052,140287219
1053,140739410
1054,141157661
1055,141541832
1056,141892239
1057,142209242
1058,142493220
1059,142744779
1060,142965149
1061,143155724
1062,143317858
1063,143452884
1064,143562296
1065,143648437
1066,143713729
1067,143760550
1068,143791117
1069,143807503
1070,143811411
1071,143804409
1072,143788027
1073,143763798
1074,143732537
1075,143692438
1076,143641038
1077,143575932
1078,143494677
1079,143394279
1080,143269308
1081,143113818
1082,142921842
1083,142687426
1084,142407930
1085,142094362
1086,141761117
1087,141422720
1088,141093767
1089,140787780
1090,140513557
1091,140278796
1092,140091253
1093,139958780
1094,139886162
1095,139865763
1096,139886708
1097,139937969
1098,140008398
1099,140086724
1100,140161604
1101,140221578
1102,140255100
1103,140250621
1104,广西壮族自治区
1105,46023759
1106,46212491
1107,46460092
1108,46757111
1109,47094074
1110,47461465
1111,47849787
1112,48249517
1113,48651165
1114,49045174
1115,49422074
1116,49774566
1117,50104143
1118,50414512
1119,50709342
1120,50992387
1121,51267144
1122,51536372
1123,51802615
1124,52068446
1125,52336441
1126,52608879
1127,52886833
1128,53171042
1129,53462285
1130,53761335
1131,54068598
1132,54382828
1133,54702376
1134,55025557
1135,55350728
1136,55676418
1137,56002087
1138,56327360
1139,56651884
1140,56975247
1141,57297099
1142,57617259
1143,57935646
1144,58252228
1145,58567002
1146,58880248
1147,59193081
1148,59506913
1149,59823192
1150,60143432
1151,60469040
1152,60800840
1153,61139526
1154,61485836
1155,61840512
1156,62204507
1157,62579500
1158,62967307
1159,63369687
1160,63788349
1161,64224661
1162,64678782
1163,65150476
1164,65639474
1165,66145332
1166,66667365
1167,67203995
1168,67753463
1169,68314049
1170,68884023
1171,69461936
1172,70047405
1173,70640551
1174,71241700
1175,71851506
1176,72471264
1177,73103634
1178,73751368
1179,74416940
1180,75102424
1181,75809021
1182,76535433
1183,77279600
1184,78039190
1185,78811671
1186,79594543
1187,80386312
1188,81185892
1189,81992245
1190,82804400
1191,83621485
1192,84442695
1193,85267307
1194,86094684
1195,86924264
1196,新疆维吾尔自治区
1197,21826722
1198,22008535
1199,22218063
1200,22450501
1201,22701117
1202,22964901
1203,23237248
1204,23513237
1205,23788081
1206,24057103
1207,24315447
1208,24559496
1209,24789824
1210,25008131
1211,25216210
1212,25415659
1213,25608123
1214,25794986
1215,25977380
1216,26156491
1217,26333618
1218,26509838
1219,26685810
1220,26862072
1221,27039199
1222,27217823
1223,27398171
1224,27579551
1225,27760870
1226,27941112
1227,28119256
1228,28294420
1229,28466397
1230,28635204
1231,28800757
1232,28963062
1233,29122019
1234,29277564
1235,29429538
1236,29577925
1237,29722650
1238,29863752
1239,30001590
1240,30136765
1241,30269729
1242,30401066
1243,30531305
1244,30660783
1245,30789811
1246,30918705
1247,31047731
1248,31177309
1249,31308061
1250,31440609
1251,31575531
1252,31713470
1253,31854803
1254,31999383
1255,32146931
1256,32297082
1257,32449395
1258,32603648
1259,32759919
1260,32918708
1261,33080266
1262,33245104
1263,33413378
1264,33584613
1265,33758108
1266,33933334
1267,34109815
1268,34287300
1269,34466408
1270,34647704
1271,34831696
1272,35018804
1273,35209293
1274,35404174
1275,35604500
1276,35811313
1277,36025544
1278,36247683
1279,36476492
1280,36710182
1281,36947016
1282,37185289
1283,37423254
1284,37659139
1285,37891311
1286,38118010
1287,38337617
1288,江苏省
1289,79592328
1290,79833865
1291,80127666
1292,80461839
1293,80824521
1294,81203873
1295,81588077
1296,81965335
1297,82323849
1298,82651807
1299,82937431
1300,83170713
1301,83348920
1302,83471138
1303,83536421
1304,83543846
1305,83494611
1306,83398537
1307,83267562
1308,83113629
1309,82948682
1310,82782418
1311,82615742
1312,82447330
1313,82275827
1314,82099912
1315,81918275
1316,81729939
1317,81533975
1318,81329477
1319,81115536
1320,80890998
1321,80653759
1322,80401466
1323,80131784
1324,79842376
1325,79531066
1326,79196340
1327,78836775
1328,78450953
1329,78037415
1330,77595682
1331,77129153
1332,76642221
1333,76139267
1334,75624655
1335,75102134
1336,74573032
1337,74038046
1338,73497844
1339,72953067
1340,72404812
1341,71856008
1342,71310127
1343,70770716
1344,70241393
1345,69724600
1346,69217909
1347,68717611
1348,68220009
1349,67721342
1350,67218632
1351,66712084
1352,66202687
1353,65691495
1354,65179544
1355,64667295
1356,64152648
1357,63632810
1358,63104862
1359,62565743
1360,62013788
1361,61453369
1362,60890480
1363,60331327
1364,59782299
1365,59248871
1366,58732259
1367,58232569
1368,57749965
1369,57284600
1370,56836754
1371,56407183
1372,55996806
1373,55606552
1374,55237402
1375,54890348
1376,54566403
1377,54266597
1378,53991954
1379,53743519
1380,江西省
1381,44567791
1382,44655354
1383,44786839
1384,44954275
1385,45149644
1386,45364959
1387,45592180
1388,45823289
1389,46050250
1390,46265011
1391,46459542
1392,46627765
1393,46771517
1394,46894622
1395,47000880
1396,47094122
1397,47177710
1398,47253246
1399,47321901
1400,47384828
1401,47443206
1402,47498000
1403,47549413
1404,47597469
1405,47642154
1406,47683498
1407,47721288
1408,47754512
1409,47781912
1410,47802238
1411,47814244
1412,47816912
1413,47810212
1414,47794343
1415,47769513
1416,47735935
1417,47693744
1418,47642852
1419,47583081
1420,47514262
1421,47436239
1422,47349092
1423,47253814
1424,47151645
1425,47043807
1426,46931571
1427,46816039
1428,46697790
1429,46577280
1430,46454952
1431,46331232
1432,46206948
1433,46084513
1434,45966739
1435,45856517
1436,45756728
1437,45669241
1438,45591700
1439,45520639
1440,45452514
1441,45383689
1442,45311257
1443,45235283
1444,45156602
1445,45076120
1446,44994743
1447,44913248
1448,44831709
1449,44750033
1450,44668161
1451,44586114
1452,44504194
1453,44423845
1454,44346786
1455,44274666
1456,44209109
1457,44151033
1458,44098697
1459,44049611
1460,44001190
1461,43950786
1462,43896411
1463,43839202
1464,43781145
1465,43724298
1466,43670817
1467,43622932
1468,43582940
1469,43553182
1470,43536084
1471,43534083
1472,河北省
1473,73024765
1474,73593518
1475,74158283
1476,74712903
1477,75251403
1478,75767939
1479,76256781
1480,76712276
1481,77128852
1482,77500956
1483,77823066
1484,78091435
1485,78309293
1486,78481670
1487,78613541
1488,78709922
1489,78775885
1490,78816918
1491,78838560
1492,78846377
1493,78845919
1494,78842040
1495,78836851
1496,78831730
1497,78828101
1498,78827349
1499,78830195
1500,78834526
1501,78837532
1502,78836375
1503,78828266
1504,78810728
1505,78782663
1506,78743377
1507,78692112
1508,78628154
1509,78550834
1510,78459638
1511,78354128
1512,78233867
1513,78098391
1514,77947879
1515,77784843
1516,77612385
1517,77433641
1518,77251731
1519,77069592
1520,76889024
1521,76711602
1522,76538884
1523,76372461
1524,76213669
1525,76062880
1526,75920194
1527,75785686
1528,75659388
1529,75540987
1530,75428762
1531,75320653
1532,75214518
1533,75108167
1534,74999721
1535,74888699
1536,74774982
1537,74658513
1538,74539225
1539,74417203
1540,74293009
1541,74167360
1542,74041073
1543,73915047
1544,73790715
1545,73671349
1546,73560659
1547,73462294
1548,73379863
1549,73315402
1550,73264948
1551,73222849
1552,73183225
1553,73140069
1554,73089036
1555,73033468
1556,72978756
1557,72930473
1558,72894411
1559,72876474
1560,72882747
1561,72919410
1562,72992754
1563,73109214
1564,河南省
1565,94029933
1566,94164043
1567,94401557
1568,94724076
1569,95113137
1570,95550225
1571,96016784
1572,96494244
1573,96964008
1574,97407439
1575,97805932
1576,98145092
1577,98427582
1578,98660346
1579,98850282
1580,99004313
1581,99128899
1582,99228602
1583,99307524
1584,99369768
1585,99419427
1586,99460206
1587,99494266
1588,99523347
1589,99549226
1590,99573656
1591,99597348
1592,99616835
1593,99627572
1594,99625023
1595,99604624
1596,99562865
1597,99500387
1598,99418897
1599,99320099
1600,99205734
1601,99077063
1602,98933484
1603,98773945
1604,98597351
1605,98402653
1606,98189627
1607,97961467
1608,97722226
1609,97475977
1610,97226822
1611,96978133
1612,96730205
1613,96482626
1614,96234891
1615,95986515
1616,95737575
1617,95490452
1618,95248131
1619,95013643
1620,94789993
1621,94578770
1622,94375805
1623,94175343
1624,93971592
1625,93758560
1626,93532105
1627,93295738
1628,93054995
1629,92815555
1630,92583210
1631,92362000
1632,92148318
1633,91936689
1634,91721549
1635,91497294
1636,91259375
1637,91007493
1638,90742335
1639,90464416
1640,90174162
1641,89872464
1642,89562808
1643,89249374
1644,88936415
1645,88628278
1646,88328960
1647,88040627
1648,87765152
1649,87504465
1650,87260630
1651,87035745
1652,86832045
1653,86651772
1654,86497249
1655,86370857
1656,浙江省
1657,54765099
1658,55140407
1659,55555919
1660,56003258
1661,56474135
1662,56960281
1663,57453446
1664,57945423
1665,58428037
1666,58893113
1667,59332530
1668,59740149
1669,60117823
1670,60469412
1671,60798753
1672,61109716
1673,61405607
1674,61687528
1675,61956029
1676,62211668
1677,62455002
1678,62686735
1679,62908053
1680,63120239
1681,63324624
1682,63522528
1683,63714795
1684,63900458
1685,64078045
1686,64246106
1687,64403152
1688,64547813
1689,64679085
1690,64796073
1691,64897851
1692,64983501
1693,65052196
1694,65103570
1695,65137397
1696,65153479
1697,65151605
1698,65131796
1699,65094897
1700,65041937
1701,64974001
1702,64892116
1703,64797415
1704,64691303
1705,64575229
1706,64450646
1707,64319002
1708,64182006
1709,64042460
1710,63903444
1711,63768071
1712,63639452
1713,63520083
1714,63409747
1715,63307569
1716,63212625
1717,63123970
1718,63040493
1719,62960544
1720,62882298
1721,62803932
1722,62723620
1723,62639554
1724,62550081
1725,62453602
1726,62348565
1727,62233408
1728,62108022
1729,61978026
1730,61850497
1731,61732580
1732,61631514
1733,61552951
1734,61496209
1735,61458867
1736,61438388
1737,61432137
1738,61437615
1739,61453433
1740,61478491
1741,61511714
1742,61552077
1743,61598547
1744,61650162
1745,61705939
1746,61764943
1747,61826256
1748,海南省
1749,8671486
1750,8733389
1751,8807056
1752,8890476
1753,8981630
1754,9078491
1755,9179035
1756,9281246
1757,9383096
1758,9482582
1759,9577690
1760,9666860
1761,9750339
1762,9828826
1763,9903012
1764,9973603
1765,10041259
1766,10106535
1767,10169934
1768,10231979
1769,10293186
1770,10354052
1771,10414977
1772,10476329
1773,10538488
1774,10601834
1775,10666629
1776,10732644
1777,10799529
1778,10866926
1779,10934477
1780,11001837
1781,11068635
1782,11134511
1783,11199092
1784,11262007
1785,11322946
1786,11381870
1787,11438830
1788,11493882
1789,11547083
1790,11598528
1791,11648405
1792,11696926
1793,11744317
1794,11790816
1795,11836609
1796,11881723
1797,11926144
1798,11969856
1799,12012833
1800,12055140
1801,12097142
1802,12139281
1803,12181995
1804,12225709
1805,12270819
1806,12317674
1807,12366581
1808,12417858
1809,12471798
1810,12528513
1811,12587304
1812,12647260
1813,12707485
1814,12767047
1815,12825142
1816,12881414
1817,12935648
1818,12987662
1819,13037298
1820,13084609
1821,13130398
1822,13175652
1823,13221306
1824,13268293
1825,13317448
1826,13369333
1827,13424452
1828,13483290
1829,13546322
1830,13613822
1831,13685238
1832,13759820
1833,13836805
1834,13915448
1835,13994982
1836,14074645
1837,14153683
1838,14231333
1839,14306842
1840,湖北省
1841,57237730
1842,57362706
1843,57544487
1844,57770533
1845,58028288
1846,58305159
1847,58588552
1848,58865855
1849,59124451
1850,59351748
1851,59535104
1852,59664842
1853,59742946
1854,59774376
1855,59764039
1856,59716882
1857,59637924
1858,59532517
1859,59406104
1860,59264102
1861,59111937
1862,58954582
1863,58795143
1864,58636272
1865,58480635
1866,58330881
1867,58188747
1868,58052320
1869,57918815
1870,57785398
1871,57649287
1872,57507734
1873,57358325
1874,57198769
1875,57026713
1876,56839854
1877,56636305
1878,56415844
1879,56178665
1880,55924979
1881,55654955
1882,55369197
1883,55070068
1884,54760348
1885,54442815
1886,54120253
1887,53795151
1888,53468936
1889,53142709
1890,52817608
1891,52494751
1892,52175437
1893,51861735
1894,51555919
1895,51260325
1896,50977332
1897,50708518
1898,50452097
1899,50205461
1900,49965906
1901,49730757
1902,49497700
1903,49266246
1904,49036362
1905,48807992
1906,48581126
1907,48355929
1908,48133309
1909,47914399
1910,47700336
1911,47492327
1912,47291185
1913,47096213
1914,46906250
1915,46720066
1916,46536352
1917,46354350
1918,46175815
1919,46003214
1920,45839020
1921,45685800
1922,45545670
1923,45419165
1924,45306357
1925,45207375
1926,45122365
1927,45051487
1928,44994936
1929,44952886
1930,44925577
1931,44913197
1932,湖南省
1933,65700763
1934,65805866
1935,65967240
1936,66173009
1937,66411297
1938,66670211
1939,66937836
1940,67202299
1941,67451644
1942,67673962
1943,67857314
1944,67992884
1945,68084491
1946,68139039
1947,68163461
1948,68164681
1949,68148976
1950,68119983
1951,68080657
1952,68033998
1953,67982958
1954,67930111
1955,67876444
1956,67822505
1957,67768892
1958,67716158
1959,67664470
1960,67612299
1961,67557725
1962,67498825
1963,67433646
1964,67360328
1965,67277240
1966,67182783
1967,67075389
1968,66953462
1969,66815750
1970,66662141
1971,66492873
1972,66308148
1973,66108175
1974,65893634
1975,65667001
1976,65431197
1977,65189168
1978,64943867
1979,64697960
1980,64452908
1981,64209876
1982,63970045
1983,63734593
1984,63504735
1985,63281906
1986,63067557
1987,62863205
1988,62670321
1989,62489845
1990,62320239
1991,62159371
1992,62005025
1993,61854969
1994,61707732
1995,61565025
1996,61429433
1997,61303595
1998,61190213
1999,61091006
2000,61003508
2001,60924175
2002,60849474
2003,60775871
2004,60700686
2005,60624675
2006,60549410
2007,60476356
2008,60406888
2009,60342359
2010,60284251
2011,60234122
2012,60193485
2013,60163901
2014,60146511
2015,60141029
2016,60146855
2017,60163422
2018,60190180
2019,60226646
2020,60272314
2021,60326734
2022,60389471
2023,60460121
2024,甘肃省
2025,25603008
2026,25638904
2027,25709844
2028,25809879
2029,25933057
2030,26073383
2031,26224793
2032,26381339
2033,26536915
2034,26685500
2035,26821086
2036,26938748
2037,27038284
2038,27120587
2039,27186591
2040,27237222
2041,27273537
2042,27297036
2043,27309351
2044,27312118
2045,27306977
2046,27295533
2047,27279255
2048,27259611
2049,27238035
2050,27215980
2051,27194645
2052,27174055
2053,27154020
2054,27134307
2055,27114728
2056,27094861
2057,27073673
2058,27049895
2059,27022259
2060,26989526
2061,26950551
2062,26904735
2063,26851600
2064,26790676
2065,26721452
2066,26643779
2067,26558667
2068,26467406
2069,26371336
2070,26271774
2071,26169980
2072,26067097
2073,25964163
2074,25862266
2075,25762489
2076,25665796
2077,25572603
2078,25483203
2079,25397936
2080,25317108
2081,25240769
2082,25168013
2083,25097717
2084,25028665
2085,24959690
2086,24889804
2087,24819058
2088,24747734
2089,24676150
2090,24604637
2091,24533362
2092,24462025
2093,24390112
2094,24317197
2095,24242795
2096,24166642
2097,24089245
2098,24011321
2099,23933544
2100,23856559
2101,23781117
2102,23708285
2103,23639230
2104,23575147
2105,23517275
2106,23466316
2107,23421107
2108,23379896
2109,23340993
2110,23302634
2111,23263094
2112,23220575
2113,23173315
2114,23119513
2115,23057387
2116,福建省
2117,36556010
2118,36761990
2119,37001453
2120,37267193
2121,37551984
2122,37848603
2123,38149855
2124,38448540
2125,38737485
2126,39009517
2127,39257473
2128,39476009
2129,39666950
2130,39833969
2131,39980687
2132,40110765
2133,40227581
2134,40333341
