,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
22,21114.561115870118,24765.348413049047,21399.367948680956,11236.38077229614,17932.598561667954,23473.711370708155,13148.406994181143,13568.21665439495,27918.28729621634,103986.06967529423,58835.69223590718,48343.362663941094,20866.021555481704,25829.553538402524,77478.46419526885,30329.872279798394,35422.39456086919,23677.862340997333,113496.05688726674,21850.87907473729,5770.5096996436505,33998.87671940004,49222.59261783798,12191.667066078824,27722.02623434058,1322.1222999024956,13501.380456424271,8943.056514351782,4495.325904837727,2150.514387313952,9329.707998030866
23,21547.4724802997,25095.743357949344,21641.711173741147,11497.8971605236,18417.355468322206,23802.617401186264,13358.686041189805,13766.22213060437,28654.573001254386,106837.09285579399,60340.474530508654,50992.02524430348,21415.241764333612,27339.477805358994,79250.53910022219,31005.210808017902,36388.81127606532,24509.100083003363,118697.94976574897,23072.256662884727,5901.676187608922,36963.211342371724,51849.332588726276,12812.45298211765,30507.241926926563,1377.6856440612275,13953.76557685849,9257.210838981684,4893.568916234109,2176.432904082126,9550.452700005928
24,21938.5140329467,25390.22228853332,21856.898777974693,11735.344371430258,18860.591293461715,24096.136430199604,13547.03617120422,13943.116108563301,29326.96651046072,109445.78849210528,61712.637469691785,53542.29139171122,21916.754389535494,28803.267892388907,80858.31128712295,31617.242208430718,37272.86376493714,25280.66052285611,123623.80341782224,24250.68682170742,6020.649857505535,39994.75986502008,54371.797058610326,13405.887929130715,33426.87602015435,1429.9288658862295,14372.42310288056,9548.823035870806,5301.904934124935,2199.478411151485,9751.02515344206
25,22290.18705989273,25651.903494632443,22047.48145022307,11949.885806073784,19263.62784782372,24357.25554892591,13715.149246065359,14100.636126821953,29937.692880746752,111819.44266777394,62957.27139283194,55976.08963792244,22372.23193804601,30209.41132095793,82310.00054570849,32169.29334621176,38077.07953726853,25992.00698233045,128250.77749444947,25377.52570126815,6128.047909891382,43065.34795846812,56772.96326530941,13968.338493156032,36460.38666209078,1478.6762933450532,14757.346697743907,9817.687564343925,5716.599680595284,2219.913465795018,9932.367351317116
26,22605.207785429273,25883.820816350406,22215.887352384583,12142.876195147383,19628.27261617627,24588.903892936174,13864.727100579548,14240.498168729653,30489.68287977065,113968.26798388004,64080.82656576129,58279.118426163,22783.871424224075,31548.358349012902,83615.06603681973,32665.12983598438,38804.96986310353,26643.766141584452,132564.17939770714,26445.82686875956,6224.5777763471515,46145.30577701217,59039.64771556384,14497.111180276814,39583.30445063122,1523.8384816844316,15109.13626012453,10064.038796713463,6133.676689220099,2237.98990964393,10095.589486051236
27,22886.39893728984,26088.874561968707,22364.39686929689,12315.791335353904,19956.68465953693,24793.899453268605,13997.440312009905,14364.362507352675,30986.369368905158,115904.61545004681,65090.69828343797,60440.97586052346,23154.24250113293,32812.692213827664,84783.73365847739,33108.77820620854,39460.76253898269,27237.53008811483,136556.93238958993,27450.424774541698,6311.002233383087,49204.60029797927,61162.56951873436,14990.441091647794,42767.913437916,1565.4033981638365,15428.884355179585,10288.476266857573,6549.067319838952,2253.9457314936917,10241.910269912294
28,23136.601344325773,26269.797998311187,22495.127650151608,12470.168315773313,20251.25409958853,24974.91172563406,14114.897427630764,14473.809220151366,31431.50606989232,117642.2621620927,65994.86184603497,62455.07375300954,23486.152388695926,33997.16893875854,85826.59636572377,33504.37687309025,40049.160832635665,27775.6527186996,140228.7586026239,28387.91642516699,6388.109963356118,52213.99723888345,63136.20754309298,15447.435777031667,45984.17405255339,1603.4254473990416,15718.062937226105,10491.887751939305,6958.768262189328,2268.003081798338,10372.605875483943
29,23358.604777472072,26429.136684812962,22610.027783658523,12607.55667006345,20514.498395294082,25134.437598376913,14218.623283724635,14570.321879853456,31829.0129526476,119195.79507989023,66801.56448341858,64318.374419848056,23782.53072217807,35098.641665878065,86754.28947178401,33856.05617120501,40575.13532212401,28261.053707262447,143585.18216899602,29256.557444981347,6456.691688519227,55146.15816122503,64958.493369625634,15867.985453885105,49200.82810198386,1638.013450057736,15978.41685645969,10675.37518720737,7358.993722869082,2280.3672120809942,10488.967975568992
30,23555.096284434218,26569.238051540324,22710.875185629266,12729.480064078958,20748.976610592003,25274.787935551823,14310.044937146053,14655.277921971194,32182.849532819957,120580.09917026565,67519.0755648536,66030.99771008127,24046.335251314467,36115.89265553537,87577.23758539866,34167.84577451548,41043.751286859835,28697.03941198577,146636.45037686845,30056.093630160118,6517.521612635526,57976.587254114216,66630.388860568,16252.65154298022,52386.60213315253,1669.318521290159,16211.868502951762,10840.186963399814,7746.3102214934515,2291.2261327124456,10592.27063816751
31,23728.623743418808,26692.24887705658,22799.281554432124,12837.407589010143,20957.221365100868,25398.08251701618,14390.483756901978,14729.944285802463,32496.915203326625,121809.94904528485,68155.4923288315,67595.74761746693,24280.477713354583,37049.40005331661,88305.46639819605,34443.606654555624,41460.031243488345,29087.14645343204,149396.45510235435,30787.55065177184,6571.343655510863,60684.362306209296,68155.3971645628,16602.544774175974,55511.412037164526,1697.5225770393054,16420.436010582456,10987.65877967252,8117.74426191635,2300.7508090550295,10683.74535137933
