,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
28,22255.095008834443,25564.033500155667,21945.527574375486,11922.999641304572,19338.487953243337,24218.170383575023,13664.741134810994,14032.149423958303,30059.307987925487,112084.19038376471,62855.269166011465,57187.25889990929,22367.425054383737,30871.479314778135,82134.20352855265,32068.27007436258,38086.41528400715,26070.348982474945,128549.88556077878,25769.870364143353,6099.346179954114,45196.10819503864,57578.90001776645,14119.225071435598,39105.117677070186,1512.5764362967684,14802.53989835384,9859.49397328414,5923.629679130224,2206.5309124402315,9925.061089525558
29,22423.80042054269,25687.19720378316,22034.40260504406,12026.021173595329,19536.912057771635,24340.11444049033,13744.172895770946,14106.068600352475,30359.849323780083,113247.54002755671,63456.26317150672,58486.33063961573,22588.53891826146,31625.795021956506,82831.07050088939,32332.192594997166,38477.90162967865,26423.01185893579,130870.07405870032,26362.7765558625,6150.4962501450755,47020.57337090742,58834.41013737192,14409.939635061679,41038.336901519535,1538.3886731970329,14993.04511235712,9993.46374739329,6162.739332375054,2216.0111770171097,10012.66776886552
30,22571.06811933062,25794.159463677068,22111.476500429777,12116.128932440795,19710.986941080948,24446.060306565363,13813.283635124359,14170.317891346771,30623.38184170445,114268.35659817174,63982.82294096381,59652.65531139566,22782.384086346392,32305.19240571494,83440.40824411945,32562.856286470047,38821.35919346485,26734.281848239996,132935.20412489097,26895.384121020314,6195.213496875166,48713.10251972024,59959.72040209444,14669.919361082268,42862.13665387861,1561.3214404401997,15160.985005346478,10111.722465773546,6384.556825977509,2224.2363911211273,10089.319458339802
31,22699.38036654995,25886.938609908004,22178.247685736584,12194.77369342563,19863.31777138678,24537.99008514249,13873.326771933022,14226.088280516455,30853.89751533062,115161.83350624016,64443.08516598635,60694.42011754908,22951.912125806753,32913.76988143003,83972.0947282079,32764.04211419752,39121.92372843122,27008.127107954402,134765.58679726612,27371.34153213122,6234.225950387498,50270.56587762027,60963.33136252208,14901.316392942314,44566.8655317118,1581.614468055431,15308.574211219166,10215.77296954499,6588.672203278125,2231.364949318814,10156.24019555749
32,22810.993687852242,25967.3304786615,22236.041938672595,12263.286000996051,19996.32814760971,24617.670229587355,13925.425936451795,14274.443023700933,31055.101273325417,115942.12059053543,64844.57207725463,61620.656963588204,23099.85959420217,33456.24086418129,84435.17731168252,32939.205705908855,39384.37384567767,27248.360241054568,136381.85831782385,27794.699911009902,6268.199869659434,51693.09245448186,61854.443852174845,15106.4076203816,46146.5734228512,1599.508028921194,15437.925856262025,10307.060126865348,6775.102576913958,2237.537246934614,10214.55436510804
33,22907.942824887312,26036.92530497208,22286.027654718677,12322.874535477555,20112.245947691114,24686.667103523145,13970.582458353767,14316.326333940484,31230.39215308907,116622.23666849504,65194.16256458266,62440.8152543172,23228.73500209544,33937.67490733011,84837.86562147681,33091.47710820071,39613.10285999348,27458.57941696249,137804.36434024945,28169.716412900627,6297.739402677513,52983.54931449192,62642.55805000946,15287.50614855147,47598.738429071884,1615.2365579801597,15551.023096229626,10386.9482551991,6944.223877658157,2242.877201674267,10265.28472687859
34,22992.050042688927,26097.12553525392,22329.23106494538,12374.628526493809,20213.098897188673,24746.363715550688,14009.684206098013,14352.572945845981,31382.858747823397,117214.03980735512,65498.09037677411,63164.41711630482,23340.816152064468,34363.28325203717,85187.55107259129,33223.670169249046,39812.10985166935,27642.13149824877,139052.70402295832,28500.69482232182,6323.388167726462,54146.981449824925,63337.1545995873,15446.892330969216,48923.85161855898,1629.0240414930713,15649.702146189333,10456.70692660751,7096.697442087625,2247.4937951309685,10309.353992676606
35,23064.937918609918,26149.163713837355,22366.550942476315,12419.522966836757,20300.717282087346,24797.976738895788,14043.515087253521,14383.91798772033,31515.28507395137,117728.2401689755,65761.96177651657,63800.79196733742,23438.155014996333,34738.249176939324,85490.84468620131,33338.298446050474,39985.00485959149,27802.09266473804,140145.41302176745,28791.86223880837,6345.632147624991,55190.05923302732,63947.45297862385,15586.76271770238,50124.91807489074,1641.0809146807787,15735.644323373483,10517.503446937108,7233.397596302168,2251.4825794511826,10347.588879449675
36,23128.044162846058,26194.119857526046,22398.772496953417,12458.425634504358,20376.74166607018,24842.57319140681,14072.764706544973,14411.006754926924,31630.163663667638,118174.44280792103,65990.78643055324,64358.882736683554,23522.587808230546,35067.60020646663,85753.62659048983,33437.595192937515,40135.02397995566,27941.262427154827,141099.76194937326,29047.27853451607,6364.903415899941,56120.56769674644,64482.23845037499,15709.194565085283,51206.92724513237,1651.6021922383666,15810.374889256687,10570.400448539185,7355.34472350987,2254.9271127601196,10380.725781396846
37,23182.637383262805,26232.93793352604,22426.580279130652,12492.105157144808,20442.633896035237,24881.086358292356,14098.037828429597,14434.404108080538,31729.713335256376,118561.210272956,66189.01662663813,64847.11362018376,23595.74841849291,35356.117262875654,85981.10211901403,33523.53556578589,40265.05097994356,28062.167476665763,141931.64710071337,29270.774085306584,6381.584326109151,56946.95918269646,64949.74709016135,15816.123280081256,52176.33539510127,1660.7665683464645,15875.266805801764,10616.35724466746,7463.646637986135,2257.900300867083,10409.417395973041
