,YEAR,全国,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
11,2013.7312551283248,480456.51451905305,13430.333421340103,18006.50849469298,16222.091107250417,6818.578949918351,10250.901397916516,16843.435952883963,9076.599992214195,9624.628049159377,16121.062142683011,59088.129574601786,34405.749243802835,19537.541923825043,12059.193400015192,10061.126291206945,47327.992238748586,18716.68287514314,20170.260716739544,12050.351649390053,50527.71604165197,8731.178257141357,3534.492414207717,10398.599979005612,20188.136274359964,5132.275374226948,7744.54290086182,616.7880121628659,7023.206818771033,4552.968843669524,1359.3908586332223,1605.5097544965736,5626.645409663985
12,2014.2754898294208,518894.6391566438,14299.79537690105,18870.934176109993,16911.650923871282,7298.258798597548,11036.440492106785,17685.276054585927,9573.937524218389,10119.27953982411,17338.124955917618,63661.77836901987,36969.43520301226,21671.867634899245,12972.385015014452,11190.845954205608,50620.254318456,19998.057355959732,21730.15800405554,13122.718388835348,55671.49009955359,9695.989347053133,3780.024657687941,11742.247244577611,22375.880237711815,5677.896273806751,8785.802074779258,676.1957634307389,7632.528880162432,4957.643040218637,1536.6476563044382,1677.3405842442855,6025.762985642033
13,2014.7529056264289,558038.3918015541,15160.31817508422,19700.13082164856,17566.342465848724,7778.010356225505,11831.37478968126,18495.79310386892,10057.09752775162,10596.78663942832,18567.13221039666,68296.81643944173,39553.535651382634,23967.508451955204,13894.93623750729,12412.891280965494,53908.17412842606,21275.11149486325,23310.793863940686,14233.269533637018,61127.55485088196,10736.17083630072,4025.1894364690706,13242.524251828683,24725.129607111903,6261.546906512527,9959.91220970776,738.5674720801021,8260.920153315561,5376.6412527383345,1735.0056582534992,1745.824534432161,6425.376495695277
14,2015.1716801409284,597561.9938437837,16004.764647013217,20489.510601488717,18183.533018494065,8253.714403993075,12628.926636753524,19270.121228876276,10522.702886822255,11054.132971011619,19797.554351052335,72953.89195976009,42135.846846911314,26421.38963134836,14818.949835222571,13727.197472815922,57163.59150110471,22536.95966534075,24898.743223395173,15374.025156425534,66873.92734588683,11850.869506141675,4267.887720898301,14913.153136327732,27231.916863460636,6881.782561135167,11281.805179981317,803.5535449316106,8903.636563565291,5806.944761253979,1956.4326757671708,1810.641747339183,6822.050094901169
15,2015.538996215002,637126.7559243601,16826.531636304742,21235.56586950056,18761.49001646466,8721.389550062526,13422.22877655705,20004.41212543152,10967.907187554447,11488.882451167277,21018.813349561948,77592.89948454264,44694.22635089595,29027.08961248969,15736.478480779355,15131.981924537173,60359.450478866725,23773.230832473466,26480.330882568127,16536.03441262885,72880.97685469234,13037.731966109723,4506.104250162815,16767.86885775755,29888.834940960514,7536.303831505955,12767.528322335367,870.7277905569301,9555.464618356593,6245.1710650291725,2202.9354186473824,1871.5652709783249,7212.448198227873
16,2015.8611615257996,676392.5785339853,17619.743606570373,21935.86644789854,19299.3257705476,9177.322657885157,14204.559204913921,20695.856713485744,11390.442403628193,11899.202284926765,22220.643632174735,82174.35183592066,47207.34560435258,31774.598468991007,16639.79609720621,16623.54539959805,63470.676052240706,24974.39876844421,28042.099313437902,17709.639537837502,79111.65204366582,14292.769907813903,4737.972744007054,18820.06714059119,32684.830405983153,8221.929110847615,14434.166294529787,939.5961060763991,10210.883939570582,6687.673958193954,2476.5181203971715,1928.4574841209774,7593.445546918743
17,2016.143714141716,715029.5542717386,18379.398286790143,22589.009188959168,19796.914019698866,9618.18057746556,14969.565587152538,21342.657223348062,11788.634772477219,12283.855803561504,23393.43062363832,86660.7074901741,49655.38440645803,34650.22110217325,17521.653341851204,18196.13481240795,66474.91367322582,26132.054298951087,29571.260793193007,18884.788816211058,85522.11882925524,15610.286046874335,4961.83080225514,21082.372412452383,35605.15138423467,8934.60854735596,16299.70596288046,1009.6094355651375,10864.251418998134,7130.6618905878695,2779.13002615131,1981.2631206322417,7962.222553378957
18,2016.3915155965665,752728.8400912037,19101.4585397303,23194.53012819864,20254.78799107144,10041.096526463927,15711.463615210543,21943.958596308872,12161.391849912492,12642.169786307191,24528.503740943685,91017.56019062619,52020.62062468897,37636.656562949036,18375.49967975681,19841.889067265707,69353.08896754922,27239.10475330331,31056.102125608082,20051.37763187436,92062.81095807768,16982.876825739397,5176.261345249874,23566.12601724341,38631.47917006178,9669.484611648602,18382.83162332011,1080.1804066879472,11509.994192121783,7570.3266946856875,3112.601164300835,2029.999863066122,8316.340118969467
19,2016.608832899464,789212.0562889436,19782.88997016636,23752.790627973493,20674.029096974133,10443.727271551832,16425.196777928028,22499.74980180489,12508.165655947732,12973.982192312022,25618.366028163557,95214.61396480454,54287.88067459289,40713.27346426167,19195.658435285695,21550.885840689756,72089.76470976783,28289.89359452956,32486.31586246624,21199.593333682213,98679.85513549266,18401.523597966985,5380.118916197152,26280.80143498476,41742.25960652301,10421.000683303606,20702.637546609865,1150.7026436294427,12142.79755298876,8002.973510480246,3478.566519124631,2074.747474915509,8653.790408973467
20,2016.799410750905,824238.6421820523,20421.648485976322,24264.848660958454,21056.154124180823,10824.28022366844,17106.549387091938,23010.74600060469,12828.897903484927,13279.57667385198,26656.8496865554,99226.39126299889,56444.831597687575,43856.5853580129,19977.446469947452,23311.30062101126,74673.29232920686,29280.24094525996,33853.24033494259,22320.239178106818,105316.79223095947,19855.777319165896,5572.540671585275,29233.36154475005,44913.233137304014,11183.05453876503,23278.245539342373,1220.5714403029274,12757.774549954554,8425.14259391142,3878.3796907488577,2115.636348746157,8973.022540249545
