,SSP,YEAR,GDP,POP,LDP,BA,CCF,人均CCF,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA,result,RESULT
12,SSP1,2032,1577363.2188280001,1386960601,1037670.0027939997,73746.5426887,83217636060,1860,94641793.13370001,39589711140.259995,34810858740446.0,26044131864.74,1850939775.7259998,16206756.729000004,15868264.155273438
13,SSP1,2033,1634615.2710769998,1385756730,1050500.6417099996,74339.1711192,83145403800,1860,98076916.264,41026661222.53,34780623862967.0,26366163772.25,1865813958.2040002,16191865.176000003,16032776.167480469
14,SSP1,2034,1690852.8235410003,1384412646,1061934.151553,74878.06378340001,83064758760,1860,101451169.4097,42438148719.38001,34746909475933.0,26653129606.58,1879339444.7339993,16156842.354999997,16202423.247070312
15,SSP1,2035,1745972.8570970003,1382949210,1072084.399511,75367.1995539,82976952600,1860,104758371.42899998,43821587979.67,34710194864740.0,26907887279.900005,1891616099.693,16189938.3745,16377077.678222656
16,SSP1,2036,1800464.028004,1381378168,1081064.3683260002,75810.4263206,82882690080,1860,108027841.6762,45189243628.28999,34670749473272.0,27133272510.34,1902740499.812,16250453.554999998,16556608.370605469
17,SSP1,2037,1853692.701167,1379675182,1088984.024638,76211.4321611,82780510920,1860,111221562.071,46525212267.68,34628014050541.0,27332045310.43,1912805211.1680007,16316923.625499997,16740880.847167969
18,SSP1,2038,1905581.621151,1377806717,1095948.6672749997,76573.7244187,82668403020,1860,114334897.2734,47827554893.67,34581110069476.0,27506848545.249996,1921898263.1449997,16447291.596000005,16929757.251464844
19,SSP1,2039,1956062.038617,1375739121,1102057.724093,76900.61555919999,82544347260,1860,117363722.313,49094545985.649994,34529213999058.0,27660177715.11,1930102794.2920003,16806640.8705,17123096.345214844
20,SSP1,2040,2005073.4486300002,1373439025,1107403.948611,77195.21490959999,82406341500,1860,120304406.9221,50324666949.81,34471490190669.0,27794360814.100002,1937496844.7859995,17191016.213999998,17320753.51123047
21,SSP1,2041,2052368.363283,1370874905,1112072.963678,77460.42526320001,82252494300,1860,123142101.7956,51511706171.859985,34407130522762.0,27911546859.45,1944153270.6020002,17301364.105000004,17522580.743652344
