,YEAR,SSP,cator,GDP,POP,CCF,人均CCF,BA,LDP,UR,FCE_P,FCE,SLUDGE_PRED,Landfill_2015,Incineration_2015,Land_application_2015,Building_material_2015,Landfill_percent_2015,Incineration_percent_2015,Land_application_percent_2015,Building_material_percent_2015,Landfill_percent_2030,Incineration_percent_2030,Land_application_percent_2030,Building_material_percent_2030,other,Landfill_percent_new,Incineration_percent_new,Land_application_percent_new,Building_material_percent_new,Landfill_2015_standard_future,Incineration_2015_standard_future,Land_application_2015_standard_future,Building_material_2015_standard_future,Landfill_2015_standard_future_GHG_Before_AD,Incineration_2015_standard_future_GHG_Before_AD,Land_application_2015_standard_future_GHG_Before_AD,Building_material_2015_standard_future_GHG_Before_AD,Landfill_2015_standard_future_GHG_After_AD,Incineration_2015_standard_future_GHG_After_AD,Land_application_2015_standard_future_GHG_After_AD,Building_material_2015_standard_future_GHG_After_AD,Sum_2015_standard_future_GHG_Before_AD,Sum_2015_standard_future_GHG_After_AD,PGER_2015_standard_future,Landfill_new_standard_future,Incineration_new_standard_future,Land_application_new_standard_future,Building_material_new_standard_future,Landfill_new_standard_future_GHG_Before_AD,Incineration_new_standard_future_GHG_Before_AD,Land_application_new_standard_future_GHG_Before_AD,Building_material_new_standard_future_GHG_Before_AD,Landfill_new_standard_future_GHG_After_AD,Incineration_new_standard_future_GHG_After_AD,Land_application_new_standard_future_GHG_After_AD,Building_material_new_standard_future_GHG_After_AD,Sum_new_standard_future_GHG_Before_AD,Sum_new_standard_future_GHG_After_AD,PGER_new_standard_future,Unnamed: 0,SSP1_2060,SSP2_2060,SSP3_2060,SSP4_2060,SSP5_2060,SLUDGE_2017,PSSP1_2060,PSSP2_2060,PSSP3_2060,PSSP4_2060,PSSP5_2060
11,2035,SSP2,6,1604287.918547,1356524022,34659188762.4,2100,78192.4984275,1052529.438635,2021.5003698100002,278993.303479,88686.5445588,19599.20111985,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,9733.64450450237,3089.3848353854446,3890.4731825244025,2885.698597437783,19.38941985296872,18.07290128700485,1.9802508499049212,16.85247980903665,5.528710078557347,12.357539341541779,1.3655560870660652,2.429758219042613,56.29505179891515,21.681563726207802,-34.61348807270735,979.9600559925001,979.9600559925001,13719.440783895,3919.8402239700004,1.9520804315370601,5.732766327556126,6.983195359002555,22.8918669079848,0.55661731180374,3.9198402239699996,4.815523715147144,3.30050546858274,37.55990902608053,12.592486719503626,-24.967422306576914,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
12,2035,SSP3,6,1693733.108366,1319974963,43361177535.00001,2700,86120.04638500001,1238123.755659,2111.93351023,318545.21587,105014.9422359,21131.42133325,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,10534.363249230577,3308.3892975616213,4232.403650982537,3056.265135475265,20.98445159246731,19.354077390735487,2.1542934583501117,17.848588391175554,5.983518325562967,13.233557190246483,1.4855736814948703,2.573375244070174,60.34141083272845,23.276024441374496,-37.06538639135396,1056.5710666625,1056.5710666625,14791.994933275,4226.28426665,2.1046895647917006,6.180940739975625,7.529125421036974,24.681500117236002,0.6001323658643,4.2262842666500005,5.191990221579524,3.5585313525193008,40.4962558430403,13.576938206613125,-26.919317636427177,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
13,2035,SSP4,6,1626120.8868150003,1301928454,38016310856.200005,2400,81188.1590662,1113415.81703,2063.2574950499998,302008.64003199997,94779.71400010001,19997.7433355,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,9960.767165184228,3172.813861427795,3924.4693360657448,2939.6929728222312,19.841848193046985,18.560961089352606,1.997554892057464,17.16780696128183,5.657715749824643,12.691255445711182,1.377488736959076,2.4752214831163184,57.56817113573888,22.201681415611223,-35.36648972012766,999.887166775,999.887166775,13998.42033485,3999.5486671,1.9917752362158003,5.84933992563375,7.125195950438649,23.357364215864003,0.5679359107282,3.9995486671000005,4.91344553753235,3.3676199776982,38.3236753281522,12.848550093058751,-25.475125235093454,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
14,2035,SSP5,6,1459924.750982,1391190623,50778457744.0,3000,91132.13676010001,1329670.7918659998,2172.62768782,339688.462749,119293.93147139999,21520.07483075,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,10694.793764432148,3375.373713415092,4328.394734321748,3121.5126185810136,21.304029178748834,19.74593622347829,2.2031529197697703,18.229633692513122,6.0746428581974605,13.501494853660368,1.5192665517469335,2.6283136248452132,61.48275201451002,23.723717888449976,-37.75903412606004,1076.0037415375,1076.0037415375,15064.052381524998,4304.01496615,2.1433994531427003,6.294621887994376,7.6676026621962245,25.135447402316004,0.6111701251932999,4.3040149661500005,5.2874823859152755,3.6239806014983005,41.2410714056493,13.826648078756877,-27.41442332689243,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
15,2040,SSP1,6,1937657.1638399998,1308788920,28662477346.6,1800,73430.7350287,1024222.141879,1995.78295204,271303.32897699997,82449.0192749,19550.849243700002,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,9889.433238314385,2997.29941532623,3888.046520458788,2776.070069600598,19.699751010722252,17.534201579658447,1.9790156789135231,16.212249206467494,5.61719807936257,11.989197661304921,1.3647043286810345,2.3374509986037033,55.425217475761706,21.308551067952227,-34.11666640780948,977.542462185,977.542462185,13685.594470589998,3910.16984874,1.94726458467252,5.718623403782249,6.965967585530309,22.835391916641605,0.5552441185210801,3.9101698487400007,4.80364365917709,3.29236301263908,37.46724749062669,12.561420639077248,-24.90582685154943,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
16,2040,SSP2,6,1817911.730393,1355322319,34628485251.0,2100,81177.8975664,1088708.91636,2034.5215537800002,281104.57922,90154.9036244,20300.15064345,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,10216.38676474311,3125.775567517273,4033.751697373422,2924.2366138161938,20.35104243536828,18.285787069976045,2.053179613963072,17.07754182468657,5.802907682374088,12.50310227006909,1.415846845778071,2.462207228833235,57.76755094399396,22.184064027054486,-35.58348691693948,1015.0075321725001,1015.0075321725001,14210.105450414998,4060.0301286900003,2.0218950040876202,5.937794063209125,7.232943674261234,23.710575951549604,0.57652427827398,4.06003012869,4.987747013095664,3.4185453683569804,38.90320869310758,13.042846788416625,-25.860361904690954,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
17,2040,SSP3,6,1990316.537944,1312202693,43105858466.2,2700,91471.6337838,1316487.3117749998,2137.54845637,325230.331969,108810.43376890001,22229.1337297,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,11277.990127801455,3381.465825719578,4436.303904168686,3133.373872010282,22.465756334580497,19.781575080459533,2.258078687221861,18.298903412540046,6.405898392591226,13.525863302878314,1.5571426703632085,2.6383008002326576,62.80431351480193,24.1272051660654,-38.67710834873653,1111.456686485,1111.456686485,15560.39361079,4445.82674594,2.21402171947812,6.502021615937251,7.9202403478921095,25.963628196289598,0.63130739792348,4.445826745940001,5.461698157387289,3.74338612008148,42.59991187959707,14.28221842133225,-28.31769345826483,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
18,2040,SSP4,6,1825232.476624,1285442306,37534915335.200005,2400,84988.2067175,1161299.440045,2081.45410018,306454.09620699997,96257.5358096,20823.417569100002,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,10406.40346341627,3259.577899482165,4149.480204638321,3007.9560015632446,20.729555699125207,19.06853071197066,2.112085424160905,17.566463049129354,5.910837167220443,13.038311597928658,1.4564675518280505,2.532698953316252,59.47663488438613,22.938315270293405,-36.53831961409273,1041.170878455,1041.170878455,14576.392298369998,4164.68351382,2.0740123898823604,6.090849638961751,7.419383679870329,24.321751720708797,0.59138505896244,4.16468351382,5.11631369672787,3.50666351863644,39.90599742942324,13.379045788146751,-26.52695164127649,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
19,2040,SSP5,6,1596203.862064,1395225883,50925744733.5,3000,98403.47027650001,1436809.0493339999,2209.62829808,350022.142433,125645.0979155,22707.695245100003,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,11364.477803377064,3431.49770406894,4672.852094930957,3238.86764272304,22.638039784327113,20.074261568803298,2.378481716319857,18.914987033502552,6.4550233923181715,13.725990816275761,1.6401710853207656,2.727126555172799,64.00577010295282,24.548311849087497,-39.457458253865326,1135.384762255,1135.384762255,15895.38667157,4541.53904902,2.2616864464119604,6.642000859191751,8.09075181582913,26.522588046276802,0.6448985449608399,4.54153904902,5.57928072172107,3.82397587927484,43.51702716770964,14.589694194976751,-28.92733297273289,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
20,2045,SSP1,6,2146749.835228,1294024611,28339138981.4,1800,74356.1179691,1037645.1720670001,2001.09492861,271999.746446,82221.835162,19947.885063200003,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,10135.365529830558,3070.806518480704,3933.7096113748094,2808.0034035139292,20.189648135422473,17.96421813311212,2.0022581921897777,16.39873987652135,5.756887620943758,12.283226073922815,1.3807320735925581,2.3643388657587288,56.55486433724571,21.78518463421786,-34.769679703027855,997.39425316,997.39425316,13963.519544239998,3989.57701264,1.98680935229472,5.834756380986001,7.1074314480181595,23.2991297538176,0.56651993579488,3.98957701264,4.90119536002824,3.35922384464288,38.228126935116485,12.816516153106,-25.411610782010477,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
21,2045,SSP2,6,1994506.880234,1350007423,34492689660.55,2100,83178.5072482,1108350.406223,2042.3943899699998,282159.756834,90737.0769429,20793.432223750002,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,10536.987795468036,3150.240975110916,4147.919770282844,2958.283682888201,20.98967968857233,18.42890970439886,2.111291163073968,17.276376708067097,5.985009067825846,12.600963900443665,1.4559198393692787,2.4908748609918656,58.80625726411225,22.532767668630655,-36.2734895954816,1039.6716111875003,1039.6716111875003,14555.402556625002,4158.686444750001,2.0710258494855003,6.082078925446875,7.408699901322125,24.286728837340004,0.5905334751545,4.15868644475,5.108946297375374,3.5016139864795006,39.848533513594504,13.359780203759374,-26.488753309835126,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
22,2045,SSP3,6,2267651.2298850003,1298334159,42650277123.3,2700,95460.21197589999,1364436.683217,2154.6181839299998,329234.972349,110714.9854185,22815.367453950003,2585.1,1340.9999999999998,1124.4,829.7,16.639259620379796,3.5220197368282995,6.551019776618424,3.2877008661734797,2.9999999999999996,5.999999999999999,16.5,4.499999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,21.0,5.999999999999999,11691.991282592175,3425.9683280904237,4536.376037609846,3161.0318056575547,23.29044663492361,20.041914719328982,2.309015403143412,18.46042574504012,6.641051048512355,13.703873312361695,1.5922679892010563,2.6615887803636613,64.10180250243612,24.598781130438773,-39.50302137199735,1140.7683726975001,1140.7683726975001,15970.757217765,4563.0734907900005,2.2724105984134204,6.673494980280376,8.129115423842382,26.6483491862136,0.6479564356921802,4.563073490790001,5.605735783435515,3.84210787924518,43.72337018874978,14.658873589162873,-29.06449659958691,435,20560004.70465,21556690.802,24190318.2469,23129374.864749998,25254843.99915,10062697,113.65160466500001,120.023133675,139.244151789,129.80787142600002,137.007666751
