,PROVINCE,SSP,YEAR,GDP,POP,CCF,人均CCF,BA,LDP,UR,FCE_P,FCE,SLUDGE_PRED,Region,EPROVINCE,Unnamed: 0,SSP1_2060,SSP2_2060,SSP3_2060,SSP4_2060,SSP5_2060,SLUDGE_2017,PSSP1_2060,PSSP2_2060,PSSP3_2060,PSSP4_2060,PSSP5_2060,cator
9507,四川省,SSP3,2050,97821.80001,61076626,2006367164.0,90,4503.517392,56656.07477000001,70.83783002,11110.34591,4806.930768,1004818.541,Western region,Sichuan,23,848757.3878,806925.1543,979164.3883,848380.8448,1173829.768,296731,2.8603596789999997,2.719382721,3.299838535,2.859090708,3.9558717089999997,2
9508,四川省,SSP3,2051,99116.64336,60244353,1979026996.0,90,4511.052943,56689.44613,70.9273561,11114.29601,4749.108317,993591.9918,Western region,Sichuan,23,848757.3878,806925.1543,979164.3883,848380.8448,1173829.768,296731,2.8603596789999997,2.719382721,3.299838535,2.859090708,3.9558717089999997,2
9509,四川省,SSP3,2052,100446.6229,59395332,1951136656.0,90,4517.791167,56717.77231,71.00937492,11117.73234,4689.043028,993725.5755,Western region,Sichuan,23,848757.3878,806925.1543,979164.3883,848380.8448,1173829.768,296731,2.8603596789999997,2.719382721,3.299838535,2.859090708,3.9558717089999997,2
9510,四川省,SSP3,2053,101806.4019,58531555,1922761582.0,90,4523.814383,56741.81209,71.08450056,11120.721459999999,4626.983405,989250.439,Western region,Sichuan,23,848757.3878,806925.1543,979164.3883,848380.8448,1173829.768,296731,2.8603596789999997,2.719382721,3.299838535,2.859090708,3.9558717089999997,2
9511,四川省,SSP3,2054,103191.3647,57655051,1893968425.0,90,4529.1968289999995,56762.21122999999,71.15329938,11123.3214,4563.172532,987070.8408,Western region,Sichuan,23,848757.3878,806925.1543,979164.3883,848380.8448,1173829.768,296731,2.8603596789999997,2.719382721,3.299838535,2.859090708,3.9558717089999997,2
9512,四川省,SSP3,2055,104597.4113,56767670,1864817960.0,90,4534.005365999999,56779.519029999996,71.21629335,11125.58265,4497.8316859999995,985523.8595,Western region,Sichuan,23,848757.3878,806925.1543,979164.3883,848380.8448,1173829.768,296731,2.8603596789999997,2.719382721,3.299838535,2.859090708,3.9558717089999997,2
9513,四川省,SSP3,2056,106088.1929,55871170,1835367935.0,90,4538.300149000001,56794.20247999999,71.27396314,11127.54925,4431.167829,984687.2923,Western region,Sichuan,23,848757.3878,806925.1543,979164.3883,848380.8448,1173829.768,296731,2.8603596789999997,2.719382721,3.299838535,2.859090708,3.9558717089999997,2
9514,四川省,SSP3,2057,107554.2714,54966599,1805652777.0,90,4542.1352369999995,56806.658429999996,71.3267511,11129.259479999999,4363.325148,984468.9783,Western region,Sichuan,23,848757.3878,806925.1543,979164.3883,848380.8448,1173829.768,296731,2.8603596789999997,2.719382721,3.299838535,2.859090708,3.9558717089999997,2
9515,四川省,SSP3,2058,108948.8787,54054934,1775704582.0,90,4545.559172,56817.22403,71.37506409999999,11130.746720000001,4294.436181,984468.9783,Western region,Sichuan,23,848757.3878,806925.1543,979164.3883,848380.8448,1173829.768,296731,2.8603596789999997,2.719382721,3.299838535,2.859090708,3.9558717089999997,2
9516,四川省,SSP3,2059,110225.1546,53137053,1745552191.0,90,4548.615507,56826.185620000004,71.41927613,11132.03998,4224.620151,984579.734,Western region,Sichuan,23,848757.3878,806925.1543,979164.3883,848380.8448,1173829.768,296731,2.8603596789999997,2.719382721,3.299838535,2.859090708,3.9558717089999997,2
